Title,country,Price,SuccessRate,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,rate
ce rt ##i f ##y aw solution architect cloud migration expert,Russia,5200,98,Drupal,Golang,JavaScript,PHP,jQuery,C++,3000000
end developer java script angular vu e p wa,Ukraine,3547,100,HTML5,CSS3,JavaScript,jQuery,Bootstrap,Sass,100000
expert shop if ##y developer ruby rail react j s angular j s,Pakistan,2500,100,Ruby,Ruby on Rails,Twitter Bootstrap,Sass,HAML,RSpec,100000
gi s spatial data entry expert full st ##a ck interactive map developer,Ukraine,5900,100,Geographic Information System (GIS),Node.js,JavaScript,Digital Mapping,Cartography & Maps,Geospatial,300000
youtube manager,Russia,3000,100,YouTube,Russian,Film Production,Video Editing,Video Upload,Video Production,600
dev op evangelist,Ukraine,6000,100,DevOps,Linux System Administration,Network Administration,Microservices,Amazon Web Services,Windows Administration,100000
front end developer mage nt ##o word press,Ukraine,2000,99,HTML5,CSS3,JavaScript,React,Ember.js,PSD to HTML,1000000
stack developer python dj ang ##o node j ##s vu e ##j s flutter angular,Pakistan,2700,97,Python,Django,AngularJS,Ionic Framework,PHP,Ruby on Rails,300000
web design ui u x logo graphic design animation 3d,Serbia,2500,99,Adobe Photoshop,Adobe Illustrator,Adobe After Effects,HTML5,CSS,HTML,1000000
net c net core sql server senior developer architect consultant,India,3800,100,ASP.NET,XAML,C#,Microsoft SQL Server Programming,ASP.NET MVC,.NET Core,10000
google apps script google sheet v ba macro excel v b net vs to,Ukraine,3990,95,Excel VBA,Web Scraper,VBA,SQL Programming,Google Apps,Google Sheets,90000
google ad word pay click advertising specialist,Russia,4995,84,Goolge AdWords,Google Analytics,Search Engine Marketing,PPC Campaign Setup & Management,Campaign Management,Campaign Optimization,10000
u x ui design boost startup pitch deck investor deck,Ukraine,3000,100,User Interface Design,User Experience Design,Pitch Decks,UX Research,User Research,User Centered Design,50000
business plan market research financial writer,United States,4400,95,Financial Analysis,Business Analysis,Business,Business Process Modeling,Data Analysis,Financial Modeling,100000
web mobile ui u x designer,Ukraine,4000,88,User Experience Design,User Interface Design,Mobile UI Design,Web Design,iPhone UI Design,Android,70000
php yi i lara ve ##l ci word press mean vu e angular cake,India,2000,98,PHP,WordPress,CSS3,MySQL,Laravel,JavaScript,900000
stack net developer c as p net mv c net core dock er azure,Ukraine,4000,100,C#,ASP.NET,ASP.NET MVC,Windows Presentation Foundation,ADO.NET Entity Framework,Windows Communication Foundation,40000
seo google ad word social medium ad expert,India,900,95,Search Engine Marketing,Google Ads,Facebook Marketing,Bing Ads,Social Media Marketing,Conversion Rate Optimization,400000
stack developer,Russia,3500,100,Website Development,PHP,Laravel,Node.js,JavaScript,AngularJS,9000000
dat um entry web research lead generation expert,Macedonia,2000,100,Data Entry,Internet Research,Google Search,Lead Generation,Market Research,CRM,50000
professional proof re ##a ding edit service,United States,3000,100,English,Proofreading,Editing,Adobe InDesign,Copyediting,Microsoft Word,30000
end developer python dj ang ##o,Ukraine,2500,98,Python,Django,Flask,MySQL,RESTful,Scrapy,1000000
business manager virtual assistant tel em ##a r ##ke ter appointment set ter,Philippines,1000,97,Photography,Appointment Setting,Telemarketing,Virtual Assistant,Sales,Data Entry,500000
network virtual i ##zation architect cc de 4 x cc ##i e 3 x j ##n ci ##e vc ix n v,Saudi Arabia,10000,100,Cisco ISE,Cisco ACI,Cisco Certified Internetwork Expert (CCIE),VMware NSX,Juniper,Multiprotocol Label Switching (MPLS),100000
product development web development internet marketing,Pakistan,4500,100,Adobe Photoshop,Adobe Illustrator,Adobe InDesign,WordPress,Infographics,Graphic Design,20000
b 2 b copy writer email marketing expert,United States,15000,100,Mailchimp,WordPress,Email Marketing,Copywriting,Shopify,BigCommerce,100000
stack ruby ruby rail developer,Ukraine,5500,99,Ruby,Ruby on Rails,JavaScript,jQuery,Twitter Bootstrap,AngularJS,4000000
expert web developer special i ##ze word press,United States,6500,91,WordPress,CSS,Ecommerce Platform Development,JavaScript,jQuery,HTML5,300000
android developer,Ukraine,2000,94,Firebase,Android SDK,RESTful API,Kotlin,Mapbox,Java,300000
105 0 project io android mac os web win block cha ##i n io t,India,2000,100,iPhone App Development,iOS Development,Mac OS App Development,Android,Objective-C,WordPress,500000
u x ui design startup business sa as web mobile design,Ukraine,3500,99,sketch app,User Interface Design,User Experience Design,Web Design,Mobile UI Design,Figma,200000
digital marketing seo sm m google ad bing f b pp c expert,India,900,94,SEO,SMO,Pay Per Click Advertising,Email Marketing,Content Writing,JavaScript,4000000
stack mage nt ##o developer team lead,Belarus,3500,97,PHP,JavaScript,AJAX,Smarty,PrestaShop,Shopify,100000
project manager eco mm ##er ce shop if ##y expert,Pakistan,2500,100,Project Management,Asana,Trello,Team Building,WordPress,WooCommerce,100000
stack web developer,Albania,5000,92,Flow,WordPress,Magento,Linux System Administration,Laravel,Responsive Web Design,5000
mobile web developer,Russia,2500,89,PHP,Laravel,Lumen Micro Framework,CSS,HTML5 Canvas,Vue.js,5000
ex google twitter tech cr un ch author ad words marketing automation,United States,30000,100,Google Ads,Google Analytics,Website Analytics,Search Engine Marketing,Google AdWords Development,Pay Per Click Advertising,30000
senior system architect,Russia,4500,100,Laravel,Vue.js,MySQL Programming,Yii,PHP,Linux System Administration,300000
eco mm ##er ce lead architect web mobile developer,India,2000,100,iOS Development,Android App Development,Node.js,React,eCommerce,Salesforce App Development,8000
react j ##s vu e ##j s node j ##s python flutter fire base java script,India,1500,100,MEAN Stack Administration,AngularJS,MongoDB,Bootstrap,JavaScript,REST,1000000
active camp ai g ##n k la ##v i ##y o mail chi mp za pi expert,Ukraine,5000,96,Mailchimp,ActiveCampaign,Klaviyo,Email Marketing,Zapier,WordPress,100000
internet marketing consultant,United States,7000,94,Internet Marketing,Google Ads,Yahoo! Search Marketing,Google Analytics,Marketing Strategy,Report Writing,100000
senior stack web mobile developer,Vietnam,4500,100,Meteor,React,Node.js,JavaScript,PHP,AngularJS,500000
product ui u x designer,Russia,2500,98,User Experience Design,User Interface Design,Mobile UI Design,Web Design,iPhone UI Design,Adobe XD,10000
u x ui designer,Ukraine,3000,100,Creative & Talent,Design Thinking,Timeline,App Usability Analysis,Typography,Design Theory,20000
senior io developer,Russia,3300,100,iOS,iOS SDK,iOS Development,Swift,Objective-C,Mobile App Development,9000000
dr up al front end developer site builder,Ukraine,3000,100,Drupal,HTML,CSS,JavaScript,PHP,jQuery,80000
google analytics conversion rate optimization business intelligence,Russia,6500,99,Google Analytics,Web Analytics,Conversion Rate Optimization,Visual Website Optimizer,Optimizely,A/B Testing,100000
ce rt ##i f ##y hub sp ot partner designer stack hub sp ot developer,United States,15000,100,WordPress,HubSpot,SaaS,B2B Marketing,Salesforce Lightning,Wordpress Multisite,100000
motion designer effect expert,Ukraine,12000,97,Adobe Photoshop,Adobe After Effects,Motion Design,Motion Graphics,Video Ads,Video Editing,100000
expert react j ##s vu e ##j s node j ##s python red u ##x fire base,India,1500,92,React Native,Nuxt.js,Vue.js,PHP,Shopify,AngularJS,1000000
professional book layout dt p expert editorial designer,Ukraine,3000,99,Layout Design,Adobe InDesign,Print Design,Prepress,Book,Adobe Photoshop,900000
web development team,Russia,4000,100,Web Design,Ecommerce Platform Development,PHP,Symfony,Bootstrap,HTML,900000
shop if ##y partner shop if ##y expert professional,Pakistan,3500,93,Magento,Shopify,HTML5,CSS3,Twitter Bootstrap,eCommerce Website,400000
php net python team lead,Belarus,3100,100,Ruby on Rails,MySQL Programming,PostgreSQL Programming,Frontend Development,Project Management,Software QA Testing,1000000
senior stack developer efficient scala b ##le app business,Bulgaria,5700,98,HTML5,CSS3,JavaScript,AngularJS,Angular,Bootstrap,100000
seo se m expert,Ukraine,2500,100,SEO,Search Engine Marketing,Google Ads,Google+,Google Map Maker,Google Analytics API,30000
educational consultant curriculum designer,United States,6000,100,Copyediting,Research,Microsoft Word,Data Entry,Newsletter Writing,Organizer,7000
business consultant copy writer funnel builder business builder,United States,6000,100,Copywriting,Business Coaching,Business Development,Leadpages,Lead Generation,Market Research,9000
mechanical engineering technician,United States,6000,100,3D Printing,3D Modeling,3D Design,SolidWorks,Rapid Prototyping,JavaScript,100000
local business seo expert,Bangladesh,1500,100,SEO Keyword Research,SEO,SEO Writing,SEO Backlinking,Google Search,Blog Writing,100000
php lara ve ##l vu e ##j s expert team lead,Ukraine,3000,98,PHP,Laravel,REST,API Development,MySQL Programming,MongoDB,300000
photos hop ind es ign illustrator light room expert dat um entry,India,800,97,Adobe Photoshop,Photo Editing,Adobe Illustrator,Adobe InDesign,Adobe Photoshop Lightroom,Image Editing,100000
share point angular office 365 power app expert,India,3125,87,Microsoft SharePoint Designer,Microsoft SharePoint Administration,Microsoft SharePoint Development,Microsoft Office 365,ASP.NET,jQuery,300000
expert joo ml a web developer,United States,5999,99,Joomla,MySQL,CSS,PHP,HTML,JavaScript,1000000
maximize business digital marketing automation seo pp c,India,1000,95,SEO,Search Engine Marketing,Google Ads,Pay Per Click Advertising,Google Data Studio,Google Analytics,100000
award win graphic designer pro audio expert,United States,7500,94,Audio Production,Adobe Photoshop,Creative Writing,Audio Editing,Graphic Design,Musical Composition,80000
wellness lifestyle social medium marketing,United States,12500,100,Social Media Marketing,Facebook Marketing,Twitter Marketing,Instagram Marketing,Pinterest Marketing,Google+ Marketing,40000
robotic engineer,Australia,5000,100,Mechatronics,Embedded Systems,AWS IoT Core,C++,JavaScript,Python,100000
web graphic designer,India,2500,90,Adobe Photoshop,Adobe Illustrator,Adobe Dreamweaver,Web Design,Adobe Creative Suite,JavaScript,50000
